buyer_province,buyer_city,buyer_district,buyer_village,seller_province,seller_city,seller_district,seller_village,buyer_name,seller_name,buyer_npwp,buyer_active_pkp_flag,seller_npwp,seller_active_pkp_flag,buyer_klu_code,buyer_klu_description,seller_klu_code,seller_klu_description,invoice_date,international_transcation_flag,normalized_item_name,brand,category,quantity,unit_amount,discount_amount,dpp_amount,ppn_amount,ppnbm_amount,gross_amount
Jawa Tengah,Solo,Banjarsari,Sragen,Jawa Tengah,Solo,Banjarsari,Sragen,Dinas Pekerjaan Umum,PT Rajasa Wacana (Persero) Tbk,908299429208302,false,837957899055471,false,63210,pergudangan,63210,pergudangan,2025-03-15,false,edible vegetable oil,barco,Edible vegetable or plant oils,8,2446987,555493,19020403,2092244,0,21112647
Jawa Barat,Bandung,Coblong,Dago,Jawa Tengah,Solo,Banjarsari,Sragen,Kementerian Pendidikan,Perum Pangestu (Persero) Tbk,223453943397782,true,280125033319876,false,08992,penggalian batu bahan industri,08992,penggalian batu bahan industri,2025-06-05,true,soft drinks,lasegar,Soft drinks,7,6452509,3926287,41241276,4536540,0,45777816
Jawa Tengah,Solo,Banjarsari,Sragen,Jawa Tengah,Solo,Banjarsari,Sragen,Dinas Perhubungan,Perum Widiastuti Tbk,396549107957259,true,436019452046446,true,36930,industri alat-alat olahraga,36930,industri alat-alat olahraga,2024-11-25,true,powdered milk,nutrilon,Powdered milk,6,2760343,1131159,15430899,1697398,0,17128297
Bali,Badung,Kuta,Legian,DKI Jakarta,Jakarta Barat,Grogol,Tanjung Duren,Dinas Pendidikan,PT Salahudin Winarno (Persero) Tbk,196435238956039,false,177927096444512,true,26311,industri bata tahan api dan sejenisnya,26311,industri bata tahan api dan sejenisnya,2025-02-22,true,detergent and laundry products,vanish,Laundry products,8,9274173,1385185,72808199,8008901,0,80817100
Bali,Badung,Kuta,Legian,Jawa Tengah,Solo,Banjarsari,Sragen,Sekretariat Perhubungan,PT Pradana Hakim,379113264406935,true,480650341531740,true,92424,gelanggang permainan dan ketangkasan,92424,gelanggang permainan dan ketangkasan,2025-01-13,true,snack foods,wafello,Snack foods,10,3744634,30160,37416180,4115779,0,41531959
DKI Jakarta,Jakarta Selatan,Cilandak,Cipete,Jawa Tengah,Solo,Banjarsari,Sragen,Direktorat Kesehatan,PT Agustina (Persero) Tbk,248968961686579,false,983402802008360,false,52101,pergudangan,52101,pergudangan,2025-07-08,false,hair shampoo,ellips,Shampoos,4,1632524,101639,6428457,707130,0,7135587
Jawa Timur,Malang,Klojen,Kauman,Jawa Timur,Malang,Klojen,Kauman,Direktorat Keuangan,PT Permata Tbk,379959322562087,true,703804499281903,false,22121,industri pengasapan karet,22121,industri pengasapan karet,2024-12-25,true,air conditioner,modena,Air conditioners,7,3128418,1168303,20730623,2280368,0,23010991
Jawa Barat,Bandung,Coblong,Dago,DKI Jakarta,Jakarta Barat,Grogol,Tanjung Duren,Dinas Perhubungan,PD Halim,641962534058519,true,551533625473649,true,28222,industri mesin dan perkakas mesin untuk pengerjaan kayu,28222,industri mesin dan perkakas mesin untuk pengerjaan kayu,2025-07-16,true,feminine hygiene products,softex,Feminine hygiene products,7,86161,25586,577541,63529,0,641070
Jawa Timur,Malang,Klojen,Kauman,Jawa Barat,Bandung,Coblong,Dago,Kementerian Pekerjaan Umum,PT Maulana,710459746649477,true,453088178967451,true,92424,gelanggang permainan dan ketangkasan,92424,gelanggang permainan dan ketangkasan,2024-10-08,true,snack foods,wafello,Snack foods,10,8049183,4218214,76273616,8390097,0,84663713
Jawa Barat,Bandung,Coblong,Dago,DKI Jakarta,Jakarta Barat,Grogol,Tanjung Duren,Kementerian Pekerjaan Umum,Perum Widodo (Persero) Tbk,751805294327828,true,192305802381669,false,36930,industri alat-alat olahraga,36930,industri alat-alat olahraga,2025-02-21,false,powdered milk,nutrilon,Powdered milk,5,3476900,1404517,15979983,1757798,0,17737781
Jawa Tengah,Solo,Banjarsari,Sragen,Jawa Barat,Bandung,Coblong,Dago,Kementerian Pendidikan,PD Setiawan,799364378030887,true,705320120448736,true,45311,instalasi air (plumbing),45311,instalasi air (plumbing),2025-02-05,false,electric fan,maspion,Domestic electric fan,3,5905396,144265,17571923,1932911,0,19504834
Jawa Tengah,Solo,Banjarsari,Sragen,Bali,Badung,Kuta,Legian,Kementerian Kesehatan,UD Mulyani Hasanah,229958256314863,true,722876525790491,true,67123,manager investasi,67123,manager investasi,2024-10-06,false,laptop notebook computers,apple,Notebook computers,5,3583779,1504941,16413954,1805534,0,18219488
Jawa Barat,Bandung,Coblong,Dago,DKI Jakarta,Jakarta Barat,Grogol,Tanjung Duren,Kementerian Pendidikan,UD Jailani Marbun Tbk,968203301697046,true,281923054845981,false,55212,restoran/rumah makan talam selaka,55212,restoran/rumah makan talam selaka,2025-07-23,false,insurance service,avrist,Insurance law service,9,212230,29327,1880743,206881,0,2087624
Jawa Barat,Bandung,Coblong,Dago,Jawa Timur,Malang,Klojen,Kauman,Badan Pendidikan,PD Purnawati Nuraini Tbk,502858908314816,true,380945330220086,true,52101,pergudangan,52101,pergudangan,2024-12-27,false,hair shampoo,ellips,Shampoos,9,6867881,5206486,56604443,6226488,0,62830931
Jawa Barat,Bandung,Coblong,Dago,Jawa Timur,Malang,Klojen,Kauman,Direktorat Kesehatan,PD Pratiwi (Persero) Tbk,279238721118475,true,350437269660709,true,26412,industri kapur,26412,industri kapur,2024-11-28,false,baby diapers,mamy  poko,Infant diapers,6,5170253,954604,30066914,3307360,0,33374274
DKI Jakarta,Jakarta Selatan,Cilandak,Cipete,Jawa Tengah,Solo,Banjarsari,Sragen,Sekretariat Perhubungan,PT Latupono,703725701459341,false,131078122379385,true,92331,kebun raya dan kebun binatang,92331,kebun raya dan kebun binatang,2024-09-10,false,domestic refrigerator,panasonik,Domestic refrigerators,3,9790679,1113446,28258591,3108445,0,31367036
